"id","uuid","cultivo","predio","enfermedad","riesgo","lat","lng","biomasa","fecha_inicio_analisis","fecha_termino_analisis","productos"
22105,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-03-28 00:00:00.000,2023-04-03 00:00:00.000,"{"" ""}"
22115,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-01-17 00:00:00.000,2023-01-23 00:00:00.000,"{"" ""}"
22125,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-05-28 00:00:00.000,2023-06-03 00:00:00.000,"{"" ""}"
22135,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-07-13 00:00:00.000,2023-07-19 00:00:00.000,"{"" ""}"
22144,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-06-27 00:00:00.000,2023-07-03 00:00:00.000,"{"" ""}"
22155,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-12-09 00:00:00.000,2023-12-14 00:00:00.000,"{"" ""}"
22165,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-10-05 00:00:00.000,2023-10-11 00:00:00.000,"{"" ""}"
21700,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,alto,25.4945050903481,-108.35157704705,0.0,2022-10-09 00:00:00.000,2022-10-15 00:00:00.000,{zignal}
21711,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2023-08-21 00:00:00.000,2023-08-27 00:00:00.000,{soldier}
21720,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2023-08-05 00:00:00.000,2023-08-11 00:00:00.000,{soldier}
21731,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2023-07-17 00:00:00.000,2023-07-23 00:00:00.000,{soldier}
21740,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,alto,25.4945050903481,-108.35157704705,0.0,2023-03-17 00:00:00.000,2023-03-23 00:00:00.000,{zignal}
21750,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2023-09-13 00:00:00.000,2023-09-19 00:00:00.000,{soldier}
21757,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,alto,25.4945050903481,-108.35157704705,0.0,2023-04-05 00:00:00.000,2023-04-11 00:00:00.000,{zignal}
21768,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2023-12-01 00:00:00.000,2023-12-07 00:00:00.000,{soldier}
21779,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,alto,25.4945050903481,-108.35157704705,0.0,2023-07-01 00:00:00.000,2023-07-07 00:00:00.000,{zignal}
21788,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2024-01-21 00:00:00.000,2024-01-27 00:00:00.000,{soldier}
21798,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2023-12-17 00:00:00.000,2023-12-23 00:00:00.000,{soldier}
21809,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,moderado,25.4945050903481,-108.35157704705,0.0,2023-08-28 00:00:00.000,2023-09-03 01:00:00.000,{zignal}
21817,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,moderado,25.4945050903481,-108.35157704705,0.0,2023-10-21 00:00:00.000,2023-10-27 00:00:00.000,{zignal}
21829,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,bajo,25.4945050903481,-108.35157704705,0.0,2023-11-21 00:00:00.000,2023-11-27 00:00:00.000,{zignal}
21839,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2022-01-28 00:00:00.000,2022-02-03 00:00:00.000,"{"" ""}"
21849,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2022-04-13 00:00:00.000,2022-04-19 00:00:00.000,"{"" ""}"
21858,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2022-07-05 00:00:00.000,2022-07-11 00:00:00.000,"{"" ""}"
21871,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2022-08-21 00:00:00.000,2022-08-27 00:00:00.000,"{"" ""}"
21880,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2022-08-17 00:00:00.000,2022-08-23 00:00:00.000,"{"" ""}"
21890,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2022-06-27 00:00:00.000,2022-07-03 00:00:00.000,"{"" ""}"
